# TI's operand text per instruction, and the template derived from it by
# probing each operand independently. `{N}` is our operand N, and
# `{N:@AH|AL}` the registers TI marks with `@` when N is register-direct.
#
# Regenerate: nix develop -c python3 scripts/probe_operands.py
#
# name	mnemonic	template	probed_text
MOV_T_LOC16	MOV	T, {0:@T}	T, @0x1
MOV_XARN_PC	MOV	{0}, PC	XAR1, PC
MPYA_P_LOC16_CONST16	MPYA	P, {0}, {1:d}	P, @0x1, #1
MPYA_P_T_LOC16	MPYA	P, T, {0}	P, T, @0x1
MPYB_ACC_T_CONST8	MPYB	ACC, T, {0:d}	ACC, T, #1
MPYB_P_T_CONST8	MPYB	P, T, {0:d}	P, T, #1
MPYF32_ADDF32_PAR	MPYF32	{0}, {1}, {2}	R1H, R1H, R1H
MPYF32_MOV32_LOAD	MPYF32	{0}, {1}, {2}	R1H, R1H, R1H
MPYF32_MOV32_STORE	MPYF32	{0}, {1}, {2}	R1H, R1H, R1H
MPYF32_RAH_16FHI_RBH	MPYF32	{0}, {2}, {1}	R1H, #0x1, R1H
MPYF32_RAH_RBH_RCH	MPYF32	{0}, {1}, {2}	R1H, R1H, R1H
MPYS_P_T_LOC16	MPYS	P, T, {0}	P, T, @0x1
MPYU_ACC_T_LOC16	MPYU	ACC, T, {0}	ACC, T, @0x1
MPYU_P_T_LOC16	MPYU	P, T, {0}	P, T, @0x1
MPYXU_ACC_T_LOC16	MPYXU	ACC, T, {0}	ACC, T, @0x1
MPYXU_P_T_LOC16	MPYXU	P, T, {0}	P, T, @0x1
MPY_ACC_LOC16_CONST16	MPY	ACC, {0}, {1:d}	ACC, @0x1, #1
MPY_ACC_T_LOC16	MPY	ACC, T, {0}	ACC, T, @0x1
MPY_P_LOC16_CONST16	MPY	P, {0}, {1:d}	P, @0x1, #1
MPY_P_T_LOC16	MPY	P, T, {0}	P, T, @0x1
NASP	NASP		
NEG64_ACC_P	NEG64	ACC:P	ACC:P
NEGF32_RAH_RBH	NEGF32	{0}, {1}, {2}	R1H, R1H, EQ
NEGTC_ACC	NEGTC	ACC	ACC
NEG_ACC	NEG	ACC	ACC
NEG_AX	NEG	{0}	AL
NOP	NOP		
NOP_ZERO	ITRAP0		
NORM_ACC_IND	NORM	ACC, *	ACC, *
NORM_ACC_XARN_POSTDEC	NORM	ACC, {0}	ACC, XAR1--
NORM_ACC_XARN_POSTINC	NORM	ACC, {0}	ACC, XAR1++
NOT_ACC	NOT	ACC	ACC
NOT_AX	NOT	{0}	AL
ORB_AX_CONST8	ORB	{0}, {1}	AL, #0x1
OR_ACC_CONST16_SHIFT0_15	OR	ACC, {0} << {1:b}	ACC, #0x1 << 1
OR_ACC_LOC16	OR	ACC, {0}	ACC, @0x1
OR_AX_LOC16	OR	{0}, {1:@AH|AL}	AL, @0x1
OR_IER_CONST16	OR	IER, {0}	IER, #0x0001
OR_IFR_CONST16	OR	IFR, {0}	IFR, #0x0001
OR_LOC16_AX	OR	{0}, {1}	@0x1, AL
OR_LOC16_CONST16	OR	{0}, {1}	@0x1, #0x0001
OUT_PA_LOC16	OUT	{0}, {1}	*(0x0001), @0x1
POP_AR1H_AR0H	POP	AR1H:AR0H	AR1H:AR0H
POP_AR1_AR0	POP	AR1:AR0	AR1:AR0
POP_AR3_AR2	POP	AR3:AR2	AR3:AR2
POP_AR5_AR4	POP	AR5:AR4	AR5:AR4
POP_DBGIER	POP	DBGIER	DBGIER
POP_DP	POP	DP	DP
POP_DP_ST1	POP	DP:ST1	DP:ST1
POP_IFR	POP	IFR	IFR
POP_LOC16	POP	{0}	@0x1
POP_P	POP	P	P
POP_RB	POP	RB	RB
POP_RPC	POP	RPC	RPC
POP_ST0	POP	ST0	ST0
POP_ST1	POP	ST1	ST1
POP_T_ST0	POP	T:ST0	T:ST0
POP_XT	MOVL	XT, *--SP	XT, *--SP
PREAD_LOC16_XAR7	PREAD	{0}, *XAR7	@0x1, *XAR7
PUSH_AR1H_AR0H	PUSH	AR1H:AR0H	AR1H:AR0H
PUSH_AR1_AR0	PUSH	AR1:AR0	AR1:AR0
PUSH_AR3_AR2	PUSH	AR3:AR2	AR3:AR2
PUSH_AR5_AR4	PUSH	AR5:AR4	AR5:AR4
PUSH_DBGIER	PUSH	DBGIER	DBGIER
PUSH_DP	PUSH	DP	DP
PUSH_DP_ST1	PUSH	DP:ST1	DP:ST1
PUSH_IFR	PUSH	IFR	IFR
PUSH_LOC16	PUSH	{0}	@0x1
PUSH_P	PUSH	P	P
PUSH_RB	PUSH	RB	RB
PUSH_RPC	PUSH	RPC	RPC
PUSH_ST0	PUSH	ST0	ST0
PUSH_ST1	PUSH	ST1	ST1
PUSH_T_ST0	PUSH	T:ST0	T:ST0
PUSH_XT	MOVL	*SP++, XT	*SP++, XT
PWRITE_XAR7_LOC16	PWRITE	*XAR7, {0}	*XAR7, @0x1
QMPYAL_P_XT_LOC32	QMPYAL	P, XT, {0}	P, XT, @0x1
QMPYL_ACC_XT_LOC32	QMPYL	ACC, XT, {0}	ACC, XT, @0x1
QMPYL_P_XT_LOC32	QMPYL	P, XT, {0}	P, XT, @0x1
QMPYSL_P_XT_LOC32	QMPYSL	P, XT, {0}	P, XT, @0x1
QMPYUL_P_XT_LOC32	QMPYUL	P, XT, {0}	P, XT, @0x1
QMPYXUL_P_XT_LOC32	QMPYXUL	P, XT, {0}	P, XT, @0x1
ROL_ACC	ROL	ACC	ACC
ROR_ACC	ROR	ACC	ACC
RPTB	RPTB	{0}, {1}	#$+3, @0x1
RPTB_IMM	RPTB	{0}, {1}	#$+3, #0x1
RPT_CONST8	RPT	{0:d}	#1
RPT_LOC16	RPT	{0}	@0x1
SAT64_ACC_P	SAT64	ACC:P	ACC:P
SAT_ACC	SAT	ACC	ACC
SB	SB	{0:b}, {1}	1, EQ
SBBU_ACC_LOC16	SBBU	ACC, {0}	ACC, @0x1
SBF	SBF	{0:b}, EQ	1, EQ
SBRK_CONST8	SBRK	{0:d}	#1
SETC_M0M1MAP	SETC	M0M1MAP	M0M1MAP
SETC_MODE	SETC	{0}	SXM
SETC_OBJMODE	SETC	OBJMODE	OBJMODE
SETC_XF	SETC	XF	XF
SETFLG	SETFLG		
SFR_ACC_SHIFT	SFR	ACC, {0:b}	ACC, 2
SFR_ACC_T	SFR	ACC, T	ACC, T
SPM_SHIFT	SPM	{0:d}	#0
SQRA_LOC16	SQRA	{0}	@0x1
SQRS_LOC16	SQRS	{0}	@0x1
SUBBL_ACC_LOC32	SUBBL	ACC, {0}	ACC, @0x1
SUBB_ACC_CONST8	SUBB	ACC, {0:d}	ACC, #1
SUBB_SP_CONST7	SUBB	SP, {0:d}	SP, #1
SUBB_XARN_CONST7	SUBB	{0}, {1:d}	XAR1, #1
SUBCUL_ACC_LOC32	SUBCUL	ACC, {0}	ACC, @0x1
SUBCU_ACC_LOC16	SUBCU	ACC, {0}	ACC, @0x1
SUBF32_MOV32_LOAD	SUBF32	{0}, {1}, {2}	R1H, R1H, R1H
SUBF32_MOV32_STORE	SUBF32	{0}, {1}, {2}	R1H, R1H, R1H
SUBF32_RAH_16FHI_RBH	SUBF32	{0}, {2}, {1}	R1H, #0x1, R1H
SUBF32_RAH_RBH_RCH	SUBF32	{0}, {1}, {2}	R1H, R1H, R1H
SUBL_ACC_LOC32	SUBL	ACC, {0}	ACC, @0x1
SUBL_LOC32_ACC	SUBL	{0}, ACC	@0x1, ACC
SUBRL_LOC32_ACC	SUBRL	{0}, ACC	@0x1, ACC
SUBR_LOC16_AX	SUBR	{0}, {1}	@0x1, AL
SUBUL_ACC_LOC32	SUBUL	ACC, {0}	ACC, @0x1
SUBUL_P_LOC32	SUBUL	P, {0}	P, @0x1
SUBU_ACC_LOC16	SUBU	ACC, {0}	ACC, @0x1
SUB_ACC_CONST16_SHIFT	SUB	ACC, {0} << {1:b}	ACC, #0x1 << 1
SUB_ACC_LOC16	SUB	ACC, {0}	ACC, @0x1
SUB_ACC_LOC16_SHIFT16	SUB	ACC, {0} << 16	ACC, @0x1 << 16
SUB_ACC_LOC16_SHIFT1_15_OBJMODE1	SUB	ACC, {0} << {1:b}	ACC, @0x1 << 1
SUB_ACC_LOC16_SHIFT_T	SUB	ACC, {0} << T	ACC, @0x1 << T
SUB_AX_LOC16	SUB	{0}, {1:@AH|AL}	AL, @0x1
SUB_LOC16_AX	SUB	{0}, {1}	@0x1, AL
SWAPF_RAH_RBH	SWAPF	{0}, {1}, {2}	R1, R1, EQ
TBIT_LOC16_BIT	TBIT	{0}, {1}	@0x1, #0x1
TBIT_LOC16_T	TBIT	{0}, T	@0x1, T
TCLR_LOC16_BIT	TCLR	{0}, {1}	@0x1, #0x1
TEST_ACC	TEST	ACC	ACC
TRAP	TRAP	{0:d}	#1
TSET_LOC16_BIT	TSET	{0}, {1}	@0x1, #0x1
UI16TOF32_RAH_MEM16	UI16TOF32	{0}, {1}	R1H, @0x1
UI16TOF32_RAH_RBH	UI16TOF32	{0}, {1}	R1H, R1H
UI32TOF32_RAH_MEM32	UI32TOF32	{0}, {1}	R1H, @0x1
UI32TOF32_RAH_RBH	UI32TOF32	{0}, {1}	R1H, R1H
